word,yes_votes,no_votes
a,0,0
aah,0,0
aahs,0,0
aardvark,0,0
aardvarks,0,0
ab,0,0
aback,0,0
abacus,0,0
abacuses,0,0
abalone,0,0
abandon,0,0
abandoned,0,0
abandoning,0,0
abandonment,0,0
abandons,0,0
abase,0,0
abased,0,0
abasement,0,0
abases,0,0
abashed,0,0
abasing,0,0
abate,0,0
abated,0,0
abatement,0,0
abatements,0,0
abates,0,0
abating,0,0
abattoir,0,0
abattoirs,0,0
abbess,0,0
abbesses,0,0
abbey,0,0
abbeys,0,0
abbot,0,0
abbots,0,0
abbreviate,0,0
abbreviated,0,0
abbreviates,0,0
abbreviating,0,0
abbreviation,0,0
abbreviations,0,0
abdicate,0,0
abdicated,0,0
abdicates,0,0
abdicating,0,0
abdication,0,0
abdications,0,0
abdomen,0,0
abdomens,0,0
abdominal,0,0
abdominals,0,0
abdominoplasties,0,0
abdominoplasty,0,0
abducens,0,0
abduct,0,0
abducted,0,0
abductee,0,0
abductees,0,0
abducting,0,0
abduction,0,0
abductions,0,0
abductor,0,0
abductors,0,0
abducts,0,0
abed,14,60
aberrant,0,0
aberrantly,0,0
aberration,0,0
aberrational,0,0
aberrations,0,0
abet,0,0
abets,0,0
abetted,0,0
abetting,0,0
abeyance,0,0
abhor,0,0
abhorred,0,0
abhorrence,0,0
abhorrent,0,0
abhorring,0,0
abhors,0,0
abide,0,0
abided,0,0
abides,0,0
abiding,0,0
abilities,0,0
ability,0,0
abiotic,0,0
abject,0,0
abjection,0,0
abjectly,0,0
ablate,0,0
ablated,0,0
ablates,0,0
ablating,0,0
ablation,22,47
ablations,0,0
ablaze,0,0
able,0,0
abled,82,19
abler,32,60
ables,10,81
ablest,22,70
ablution,0,0
ablutions,0,0
ably,0,0
abnormal,0,0
abnormalities,0,0
abnormality,0,0
abnormally,0,0
aboard,0,0
abode,0,0
abodes,0,0
abolish,0,0
abolished,0,0
abolishes,0,0
abolishing,0,0
abolishment,0,0
abolition,0,0
abolitionism,0,0
abolitionist,0,0
abolitionists,0,0
abominable,0,0
abominably,0,0
abomination,0,0
abominations,0,0
aboriginal,0,0
aboriginals,0,0
aborigine,0,0
aborigines,0,0
abort,0,0
aborted,0,0
aborting,0,0
abortion,0,0
abortionist,0,0
abortionists,0,0
abortions,0,0
abortive,0,0
aborts,0,0
abound,0,0
abounded,0,0
abounding,0,0
abounds,0,0
about,0,0
above,0,0
aboveboard,0,0
aboveground,0,0
abracadabra,0,0
abrade,0,0
abraded,0,0
abrades,0,0
abrading,0,0
abrasion,0,0
abrasions,0,0
abrasive,0,0
abrasiveness,0,0
abrasives,0,0
abreast,0,0
abridge,0,0
abridged,0,0
abridges,0,0
