word,yes_votes,no_votes
abed,14,60
ablation,22,47
abled,82,19
abler,32,60
abler,26,52
ables,10,81
ablest,22,70
abrogate,12,53
absorber,53,30
abuzz,31,9
acai,67,16
acerbic,33,50
achier,59,24
acned,5,72
acrimony,72,45
acrophobia,64,34
acrophobic,62,35
acyclic,9,67
adobe,52,11
adware,11,80
agar,60,27
ahem,71,12
ahold,64,35
aioli,64,13
airfoil,25,69
airily,78,28
alack,8,80
albacore,32,60
alight,76,7
alit,74,24
alkali,65,20
alkaline,80,3
alleger,11,53
allele,42,45
aloha,79,16
ambler,33,54
ampere,100,32
ampule,43,58
anachronism,82,18
anally,61,18
ancho,10,79
anion,28,42
anise,53,19
anneal,19,51
anode,89,25
anode,42,29
apothecary,113,11
applier,54,21
arable,81,32
arable,42,42
arcana,59,39
archipelago,74,4
ardent,62,2
argyle,78,39
armhole,33,60
arpeggio,64,25
artsy,77,5
arty,40,42
ascot,75,36
asocial,96,13
asses,85,9
assort,64,10
aster,50,49
astern,37,68
astir,33,71
astral,86,2
asunder,85,29
atemporal,13,63
atilt,16,67
atoll,61,13
attache,67,57
attache,46,35
aught,46,44
aught,47,53
augur,22,71
auntie,71,10
aunty,30,48
aural,91,10
autos,88,18
autumnal,92,13
awing,18,56
axel,69,50
ayes,59,31
azurite,38,42
babbly,22,65
balded,47,75
bale,87,3
baled,54,33
baled,28,35
baler,31,48
baloney,88,24
banal,64,5
bandy,25,44
barfy,6,71
barkeep,98,13
barkeeper,106,8
barman,55,33
barman,45,17
barracuda,77,8
barware,15,91
basalt,56,1
basher,76,10
basher,46,11
bastion,114,6
bate,20,39
bated,81,5
baud,19,77
beau,58,26
beau,50,16
beaut,22,64
bedlam,45,42
befoul,31,56
belay,91,19
belfry,79,28
belie,42,31
bequest,68,42
berg,23,65
berm,22,65
besot,9,70
betroth,43,55
betrothed,87,13
bevy,61,65
bilk,22,73
bilk,22,64
billowing,105,10
bing,36,42
bios,94,21
biotic,80,35
biped,55,8
birdcall,65,43
birdie,74,3
birding,46,15
biretta,4,108
bisection,58,2
bistro,84,4
blabby,20,67
blear,17,57
bling,78,3
